"","POLINTR","STFLIFE","FREEHMS","IMUECLT","HAPPY","INPRDSC","ALCWKND","WRHPP","FLTSD","AGEA","CHLDHM","WKHTOT","happ","stflif","polint","imuecl"
"71",3,7,4,8,5,1,0,2,2,30,1,38,0,1,0,1
"72",3,7,2,4,7,3,0,2,1,27,1,38,0,1,0,0
"73",3,8,2,3,8,2,145,2,1,33,2,38,1,1,0,0
"74",2,7,2,7,8,2,0,2,2,81,2,40,1,1,1,1
"75",3,7,2,7,6,4,17,3,1,55,2,40,0,1,0,1
"76",3,9,2,5,9,2,46,3,1,62,2,39,1,1,0,0
"77",3,9,2,2,7,1,172,2,2,43,2,45,0,1,0,0
"78",2,3,2,7,5,2,23,4,2,68,2,19,0,0,1,1
"79",3,5,1,7,5,5,17,3,2,20,2,40,0,0,0,1
"80",3,9,2,3,8,2,12,3,2,41,1,40,1,1,0,0
"81",3,10,2,3,10,2,12,4,1,56,2,40,1,1,0,0
"82",3,10,3,7,7,4,58,3,2,38,1,40,0,1,0,1
"83",2,7,3,6,5,1,37,3,2,38,2,38,0,1,1,1
"84",2,9,3,5,9,1,24,3,1,85,2,70,1,1,1,0
"85",2,10,3,5,8,3,0,4,1,83,2,38,1,1,1,0
"86",2,10,2,7,9,4,30,3,1,49,1,38,1,1,1,1
"87",4,7,2,5,6,4,22,2,2,38,1,40,0,1,0,0
"88",3,10,2,8,10,1,0,4,1,74,2,36,1,1,0,1
"89",2,9,2,3,9,3,0,3,1,37,1,50,1,1,1,0
"90",2,8,1,1,8,1,94,3,1,67,2,38,1,1,1,0
"91",3,9,1,7,10,2,37,3,1,17,2,0,1,1,0,1
"92",2,8,2,8,9,2,12,4,1,31,1,30,1,1,1,1
"93",2,9,2,4,9,3,35,4,1,51,2,48,1,1,1,0
"94",3,8,1,10,8,1,49,3,1,50,1,38,1,1,0,1
"95",2,8,1,8,8,3,0,3,1,58,2,45,1,1,1,1
"96",4,8,1,7,8,2,0,3,1,20,2,20,1,1,0,1
"97",3,6,1,5,8,1,0,3,1,64,2,38,1,0,0,0
"98",3,7,1,7,7,2,124,2,2,17,2,9,0,1,0,1
"99",3,7,1,7,8,3,37,3,1,25,2,38,1,1,0,1
"100",2,5,2,8,8,1,35,3,2,60,2,50,1,0,1,1
"101",3,8,2,10,7,3,17,3,1,33,1,38,0,1,0,1
"102",1,7,1,8,6,4,17,2,1,75,2,40,0,1,1,1
"103",2,8,1,2,8,2,96,4,1,71,2,40,1,1,1,0
"104",3,7,1,8,8,1,0,3,1,66,2,38,1,1,0,1
"105",3,9,1,6,10,3,127,3,1,25,2,45,1,1,0,1
"106",4,8,1,8,8,3,62,3,1,18,2,20,1,1,0,1
"107",3,8,1,6,8,1,126,3,1,47,2,40,1,1,0,1
"108",4,7,2,6,6,2,0,3,1,74,2,38,0,1,0,1
"109",2,8,1,6,8,4,155,3,1,55,2,40,1,1,1,1
"110",2,8,1,8,8,3,215,3,1,33,2,40,1,1,1,1
"111",3,8,1,6,6,4,60,3,1,24,2,5,0,1,0,1
"112",3,10,3,8,10,3,72,3,1,79,2,40,1,1,0,1
"113",3,8,3,9,7,1,0,3,1,33,2,45,0,1,0,1
"114",3,6,3,5,8,2,117,3,1,54,1,50,1,0,0,0
"115",2,10,1,8,10,3,141,4,1,42,2,40,1,1,1,1
"116",3,9,1,9,8,4,0,3,1,24,2,45,1,1,0,1
"117",3,9,1,6,9,2,0,3,1,65,2,38,1,1,0,1
"118",3,8,1,6,8,1,109,3,1,50,2,50,1,1,0,1
"119",4,2,5,NA,2,0,0,2,2,77,2,38,0,0,0,0
"120",4,3,4,6,3,1,0,3,2,91,2,38,0,0,0,1
"121",4,9,2,7,8,2,0,3,1,21,2,50,1,1,0,1
"122",3,7,1,6,6,2,37,3,1,47,1,40,0,1,0,1
"123",2,7,1,6,9,4,0,3,2,66,2,0,1,1,1,1
"124",2,10,1,10,9,6,12,4,2,33,1,15,1,1,1,1
"125",3,7,1,5,7,3,87,2,1,46,1,40,0,1,0,0
"126",3,7,2,6,7,3,52,3,1,58,2,30,0,1,0,1
"127",3,9,1,NA,10,2,0,4,1,15,2,0,1,1,0,0
